count,msg_size,avg,min,maximum,nnode,ppn,cl,sharp
131072,524288,872.13,870.31,874.75,16,1,basic,sat-nr
262144,1048576,1749.77,1748.92,1752.26,16,1,basic,sat-nr
524288,2097152,3572.01,3571.24,3574.57,16,1,basic,sat-nr
1048576,4194304,7380.48,7379.41,7383.06,16,1,basic,sat-nr
2097152,8388608,15239.34,15238.51,15242.23,16,1,basic,sat-nr
4194304,16777216,30825.0,30824.26,30828.48,16,1,basic,sat-nr
8388608,33554432,61478.59,61477.72,61481.9,16,1,basic,sat-nr
16777216,67108864,123654.84,123653.67,123657.98,16,1,basic,sat-nr
1,4,2.92,2.91,2.94,16,1,basic,sat-arw
2,8,3.12,3.09,3.15,16,1,basic,sat-arw
4,16,3.71,3.65,3.75,16,1,basic,sat-arw
8,32,4.51,4.34,4.64,16,1,basic,sat-arw
16,64,5.31,5.04,5.56,16,1,basic,sat-arw
32,128,6.4,6.12,6.64,16,1,basic,sat-arw
64,256,8.86,8.55,9.09,16,1,basic,sat-arw
128,512,13.23,12.92,13.5,16,1,basic,sat-arw
256,1024,7.4,7.3,7.49,16,1,basic,sat-arw
512,2048,8.69,8.62,8.78,16,1,basic,sat-arw
1024,4096,12.58,12.52,12.65,16,1,basic,sat-arw
2048,8192,18.31,18.26,18.36,16,1,basic,sat-arw
4096,16384,31.26,31.17,31.34,16,1,basic,sat-arw
8192,32768,57.34,57.23,57.44,16,1,basic,sat-arw
16384,65536,109.79,109.71,109.91,16,1,basic,sat-arw
32768,131072,245.81,245.43,246.48,16,1,basic,sat-arw
65536,262144,494.95,494.11,495.91,16,1,basic,sat-arw
131072,524288,1001.52,995.71,1006.45,16,1,basic,sat-arw
262144,1048576,2009.73,1999.29,2015.79,16,1,basic,sat-arw
524288,2097152,11948.55,11933.62,11956.3,16,1,basic,sat-arw
1048576,4194304,24136.82,24097.97,24148.63,16,1,basic,sat-arw
2097152,8388608,48220.98,48167.43,48245.31,16,1,basic,sat-arw
4194304,16777216,30819.82,30819.04,30823.3,16,1,basic,sat-arw
8388608,33554432,61581.7,61580.86,61585.12,16,1,basic,sat-arw
16777216,67108864,123476.17,123475.44,123479.2,16,1,basic,sat-arw
